"Gene","group","Sample","Expression","is.outlier"
"Lep","Pw_HFHS","CC2559L",22526,NA
"Lep","Pw_HFHS","CC2560R",3923,NA
"Pik3r3","Control","CC1643L",223,NA
"Pik3r3","Control","CC1698L",192,NA
"Pik3r3","Control","CC1699R",179,NA
"Pik3r3","Control","CC2968R",101,NA
"Pik3r3","Control","CC3441L",143,NA
"Pik3r3","Ctrl_HFHS","CC1867R",269,NA
"Pik3r3","Ctrl_HFHS","CC3445R",235,NA
"Pik3r3","Ctrl_HFHS","CC4057LR",256,NA
"Pik3r3","Lact_HFHS","CC2962LR",266,NA
"Pik3r3","Lact_HFHS","CC3772L",257,NA
"Pik3r3","Lact_HFHS","CC3774LR",204,NA
"Pik3r3","Lact_HFHS","CC4164L",229,NA
"Pik3r3","Lact_HFHS","CC4272LR",275,NA
"Pik3r3","Lactation","CC2017LL",125,NA
"Pik3r3","Lactation","CC2565R",253,NA
"Pik3r3","Lactation","CC2566LR",121,NA
"Pik3r3","Lactation","CC4006R",136,NA
"Pik3r3","Lactation","CC4007LR",78,NA
"Pik3r3","Lactation","CC4113L",100,NA
"Pik3r3","Lactation","CC4114R",280,NA
"Pik3r3","Postweaning","CC2148R",134,NA
"Pik3r3","Postweaning","CC3920LR",151,NA
"Pik3r3","Postweaning","CC4058L",149,NA
"Pik3r3","Pw_HFHS","CC2379LR",127,NA
"Pik3r3","Pw_HFHS","CC2381RR",238,NA
"Pik3r3","Pw_HFHS","CC2508R",158,NA
"Pik3r3","Pw_HFHS","CC2559L",230,NA
"Pik3r3","Pw_HFHS","CC2560R",151,NA
"Socs2","Control","CC1643L",176,NA
"Socs2","Control","CC1698L",137,NA
"Socs2","Control","CC2968R",120,NA
"Socs2","Control","CC3441L",175,NA
"Socs2","Ctrl_HFHS","CC1752LR",211,NA
"Socs2","Ctrl_HFHS","CC1867R",133,NA
"Socs2","Ctrl_HFHS","CC3445R",253,NA
"Socs2","Ctrl_HFHS","CC4056R",139,NA
"Socs2","Ctrl_HFHS","CC4057LR",248,NA
"Socs2","Lact_HFHS","CC2962LR",213,NA
"Socs2","Lact_HFHS","CC3772L",204,NA
"Socs2","Lact_HFHS","CC3774LR",196,NA
"Socs2","Lact_HFHS","CC4272LR",225,NA
"Socs2","Lactation","CC2017LL",215,NA
"Socs2","Lactation","CC2565R",195,NA
"Socs2","Lactation","CC2566LR",151,NA
"Socs2","Lactation","CC4006R",250,NA
"Socs2","Lactation","CC4007LR",174,NA
"Socs2","Lactation","CC4113L",147,NA
"Socs2","Lactation","CC4114R",213,NA
"Socs2","Postweaning","CC2148R",167,NA
"Socs2","Postweaning","CC3920LR",146,NA
"Socs2","Postweaning","CC4058L",116,NA
"Socs2","Pw_HFHS","CC2379LR",251,NA
"Socs2","Pw_HFHS","CC2381RR",298,NA
"Socs2","Pw_HFHS","CC2559L",272,NA
"Socs2","Pw_HFHS","CC2560R",269,NA
"Il31ra","Control","CC1698L",6,NA
"Il31ra","Control","CC1699R",8,NA
"Il31ra","Control","CC2968R",13,NA
"Il31ra","Control","CC3441L",14,NA
"Il31ra","Ctrl_HFHS","CC1752LR",16,NA
"Il31ra","Ctrl_HFHS","CC3445R",15,NA
"Il31ra","Ctrl_HFHS","CC4057LR",14,NA
"Il31ra","Lact_HFHS","CC2962LR",10,NA
"Il31ra","Lact_HFHS","CC3772L",12,NA
"Il31ra","Lact_HFHS","CC3774LR",10,NA
"Il31ra","Lact_HFHS","CC4272LR",12,NA
"Il31ra","Lactation","CC2017LL",29,NA
"Il31ra","Lactation","CC2565R",29,NA
"Il31ra","Lactation","CC2566LR",23,NA
"Il31ra","Lactation","CC4006R",34,NA
"Il31ra","Lactation","CC4113L",36,NA
"Il31ra","Postweaning","CC2148R",12,NA
"Il31ra","Postweaning","CC3920LR",22,NA
"Il31ra","Postweaning","CC4058L",14,NA
"Il31ra","Pw_HFHS","CC2379LR",5,NA
"Il31ra","Pw_HFHS","CC2381RR",6,NA
"Il31ra","Pw_HFHS","CC2508R",18,NA
"Il31ra","Pw_HFHS","CC2559L",22,NA
"Il31ra","Pw_HFHS","CC2560R",28,NA
