"Gene","p.adj_Control_vs_Ctrl_HFHS","p.adj_Lact_HFHS_vs_Lactation","p.adj_Postweaning_vs_Pw_HFHS","p.signif_Control_vs_Ctrl_HFHS","p.signif_Lact_HFHS_vs_Lactation","p.signif_Postweaning_vs_Pw_HFHS","n1_Control_vs_Ctrl_HFHS","n1_Lact_HFHS_vs_Lactation","n1_Postweaning_vs_Pw_HFHS","n2_Control_vs_Ctrl_HFHS","n2_Lact_HFHS_vs_Lactation","n2_Postweaning_vs_Pw_HFHS"
"Gm15950",0.746,0.0158,0.458,"ns","**","ns",5,5,3,5,7,5
"Gm11611",0.128,0.000909,0.811,"ns","****","ns",5,5,3,5,7,5
"Gm14634",0.771,0.0487,0.73,"ns","**","ns",5,5,3,5,7,5
"Gm3739",0.546,0.0326,0.776,"ns","**","ns",5,5,3,5,7,5
"Robo2",0.243,0.0286,0.672,"ns","**","ns",5,5,3,5,7,5
"D330050G23Rik",0.777,0.014,0.8,"ns","***","ns",5,5,3,5,7,5
"Spata25",0.164,0.0452,0.969,"ns","**","ns",5,5,3,5,7,5
"Dmrtc1a",0.909,0.0122,0.407,"ns","**","ns",5,5,3,5,7,5
"Palm2",0.524,0.022,1,"ns","**","ns",5,5,3,5,7,5
"D630039A03Rik",0.624,0.0156,0.92,"ns","**","ns",5,5,3,5,7,5
"Pak6",0.857,0.0282,0.546,"ns","**","ns",5,5,3,5,7,5
"Cilp2",0.932,0.00795,0.932,"ns","***","ns",5,5,3,5,7,5
"A330015K06Rik",0.366,0.00903,0.839,"ns","***","ns",5,5,3,5,7,5
"Mmp16",0.351,0.00766,0.458,"ns","**","ns",5,5,3,5,7,5
"Gm2447",0.123,0.0103,0.601,"*","**","ns",5,5,3,5,7,5
"Abra",1,0.027,0.995,"ns","**","ns",5,5,3,5,7,5
"Gm44929",1,0.0492,0.962,"ns","**","ns",5,5,3,5,7,5
"Gm45572",0.727,0.00775,0.825,"ns","***","ns",5,5,3,5,7,5
"Gm43719",1,0.0451,0.542,"ns","**","ns",5,5,3,5,7,5
"Gm9057",0.831,0.0161,0.831,"ns","**","ns",5,5,3,5,7,5
"Zfp36l1-ps",0.913,0.00145,1,"ns","****","ns",5,5,3,5,7,5
"Gm44698",0.176,0.0052,0.15,"ns","***","ns",5,5,3,5,7,5
"AC122217.3",0.822,0.00145,0.811,"ns","****","ns",5,5,3,5,7,5
"Oas1e",0.514,0.0166,0.514,"ns","**","ns",5,5,3,5,7,5
"Frmpd2",0.447,0.0131,0.638,"ns","***","ns",5,5,3,5,7,5
"Gm14391",0.0801,0.036,0.595,"*","**","ns",5,5,3,5,7,5
"Vstm2a",0.939,0.0032,0.939,"ns","***","ns",5,5,3,5,7,5
"Spag6",0.535,0.0442,0.516,"ns","**","ns",5,5,3,5,7,5
"Gm43069",0.959,0.0224,0.959,"ns","**","ns",5,5,3,5,7,5
"Otogl",0.779,0.0044,0.642,"ns","***","ns",5,5,3,5,7,5
"Capn13",0.459,0.0483,0.66,"ns","**","ns",5,5,3,5,7,5
"Asb11",0.61,0.00775,0.535,"ns","***","ns",5,5,3,5,7,5
"Artn",0.551,0.0174,0.568,"ns","**","ns",5,5,3,5,7,5
"Cbx3-ps7",0.868,0.0377,0.0675,"ns","**","*",5,5,3,5,7,5
"Sp5",0.928,0.0226,0.0703,"ns","**","*",5,5,3,5,7,5
"Gm5176",0.478,0.0418,0.291,"ns","**","ns",5,5,3,5,7,5
"Gm26634",0.602,0.00709,0.806,"ns","***","ns",5,5,3,5,7,5
"Neto1",0.323,0.00202,0.353,"ns","***","ns",5,5,3,5,7,5
"Fam151a",0.612,0.0375,0.972,"ns","**","ns",5,5,3,5,7,5
"9430069I07Rik",0.771,0.0296,0.802,"ns","**","ns",5,5,3,5,7,5
"Gm37084",0.888,0.0364,0.557,"ns","**","ns",5,5,3,5,7,5
"Gm37469",0.364,0.00901,0.478,"ns","***","ns",5,5,3,5,7,5
"Gm10649",0.0723,0.0128,0.877,"*","**","ns",5,5,3,5,7,5
"Gm6430",0.5,0.0106,0.5,"ns","***","ns",5,5,3,5,7,5
"A830012C17Rik",0.945,0.0204,0.615,"ns","**","ns",5,5,3,5,7,5
"Traj44",0.19,0.0168,0.897,"ns","**","ns",5,5,3,5,7,5
"Synpr",0.733,0.0112,0.228,"ns","**","ns",5,5,3,5,7,5
"Gm39318",0.118,0.0476,0.786,"*","**","ns",5,5,3,5,7,5
"Krt78",0.129,0.00016,0.964,"ns","****","ns",5,5,3,5,7,5
"Gm48961",0.774,0.0329,0.338,"ns","**","ns",5,5,3,5,7,5
"Gm36401",0.255,0.0483,0.656,"ns","**","ns",5,5,3,5,7,5
"Gm16044",0.752,0.0169,0.92,"ns","**","ns",5,5,3,5,7,5
"Rbm24",0.337,0.0363,1,"ns","**","ns",5,5,3,5,7,5
"Gm10505",0.828,0.0362,0.566,"ns","**","ns",5,5,3,5,7,5
"Gm49188",0.573,0.0217,0.149,"ns","**","*",5,5,3,5,7,5
"Gm6142",0.453,0.00304,0.251,"ns","***","ns",5,5,3,5,7,5
"A730015C16Rik",0.829,0.00486,0.809,"ns","***","ns",5,5,3,5,7,5
"Gm10406",0.125,0.006,0.586,"ns","***","ns",5,5,3,5,7,5
"Gm26830",0.641,0.0416,0.221,"ns","**","ns",5,5,3,5,7,5
"Lrp2bp",0.893,0.0193,0.948,"ns","**","ns",5,5,3,5,7,5
"9330182O14Rik",0.862,0.0104,0.943,"ns","***","ns",5,5,3,5,7,5
"I730028E13Rik",0.655,0.0222,0.161,"ns","**","ns",5,5,3,5,7,5
"Gm18943",0.699,0.0321,0.921,"ns","**","ns",5,5,3,5,7,5
"Abca16",0.872,0.0374,0.541,"ns","**","ns",5,5,3,5,7,5
"Gm7628",0.122,0.0475,0.706,"*","**","ns",5,5,3,5,7,5
"Gm42611",0.219,0.011,0.682,"ns","***","ns",5,5,3,5,7,5
"Gm10032",1,0.0115,0.505,"ns","**","ns",5,5,3,5,7,5
"Gm49173",0.177,0.0449,0.752,"ns","**","ns",5,5,3,5,7,5
"Vwa5b1",0.228,0.000937,0.0681,"ns","****","*",5,5,3,5,7,5
"Gm6918",0.173,0.00871,0.893,"ns","***","ns",5,5,3,5,7,5
"Gm43730",0.765,0.0486,0.0667,"ns","**","*",5,5,3,5,7,5
"Gm45510",0.77,0.0224,0.77,"ns","**","ns",5,5,3,5,7,5
"Gm23442",0.0641,0.00447,0.605,"*","***","ns",5,5,3,5,7,5
"Nespas",0.708,0.0142,0.808,"ns","**","ns",5,5,3,5,7,5
"Stk33",0.405,0.0262,0.405,"ns","**","ns",5,5,3,5,7,5
"n-R5s85",0.336,0.0444,0.799,"ns","**","ns",5,5,3,5,7,5
"Gm45864",0.882,0.0217,0.437,"ns","**","ns",5,5,3,5,7,5
"Gm4707",0.751,0.024,0.751,"ns","**","ns",5,5,3,5,7,5
"Gm13954",0.618,0.0349,0.445,"ns","*","ns",5,5,3,5,7,5
"2700080J24Rik",0.549,0.0435,0.861,"ns","**","ns",5,5,3,5,7,5
"4930556I23Rik",1,0.0324,0.197,"ns","**","ns",5,5,3,5,7,5
"Gm31410",0.794,0.0107,0.794,"ns","**","ns",5,5,3,5,7,5
"Gm48558",0.63,0.0235,0.835,"ns","**","ns",5,5,3,5,7,5
"AC144408.3",0.736,1.65e-05,0.723,"ns","****","ns",5,5,3,5,7,5
"Gm12630",0.372,0.0265,0.861,"ns","**","ns",5,5,3,5,7,5
"Gm11745",0.951,0.00952,0.951,"ns","**","ns",5,5,3,5,7,5
"1700021N21Rik",0.865,0.0133,1,"ns","**","ns",5,5,3,5,7,5
"Gm25014",0.885,0.00784,0.885,"ns","***","ns",5,5,3,5,7,5
"AC078895.2",0.0537,0.0407,1,"*","**","ns",5,5,3,5,7,5
"Gm5963",0.868,0.00144,0.868,"ns","***","ns",5,5,3,5,7,5
"Gm36569",0.59,0.000808,0.841,"ns","***","ns",5,5,3,5,7,5
"Gm13528",0.278,0.0425,0.621,"ns","**","ns",5,5,3,5,7,5
"Gm21817",0.911,0.000808,1,"ns","***","ns",5,5,3,5,7,5
"Gm19667",0.792,0.0331,1,"ns","**","ns",5,5,3,5,7,5
"Adgrf1",1,0.0012,0.137,"ns","***","ns",5,5,3,5,7,5
"Gm44116",1,0.00144,0.48,"ns","****","ns",5,5,3,5,7,5
"Gm14845",0.722,0.0337,0.75,"ns","**","ns",5,5,3,5,7,5
"Gm7514",0.682,0.0466,0.599,"ns","*","ns",5,5,3,5,7,5
"4933427E11Rik",1,0.0441,0.842,"ns","**","ns",5,5,3,5,7,5
"Gm37140",0.085,0.0218,0.653,"*","**","ns",5,5,3,5,7,5
"Gm6069",1,0.0264,0.872,"ns","**","ns",5,5,3,5,7,5
"Gm16000",0.402,0.0349,0.744,"ns","**","ns",5,5,3,5,7,5
"Tyrp1",0.837,0.00112,0.837,"ns","***","ns",5,5,3,5,7,5
"Hspe1-ps4",0.9,0.0269,1,"ns","**","ns",5,5,3,5,7,5
"Gm15900",0.493,0.00712,0.546,"ns","***","ns",5,5,3,5,7,5
"Gm48383",0.601,0.00129,0.759,"ns","***","ns",5,5,3,5,7,5
"A130048G24Rik",0.993,0.0407,0.993,"ns","*","ns",5,5,3,5,7,5
"Gm31314",0.804,0.0324,0.723,"ns","**","ns",5,5,3,5,7,5
"Gm47148",0.474,0.0244,0.528,"ns","**","ns",5,5,3,5,7,5
"Gm40841",0.459,0.0134,1,"ns","**","ns",5,5,3,5,7,5
"Gm38019",0.607,0.0443,0.712,"ns","**","ns",5,5,3,5,7,5
"Gm9062",0.539,0.0137,0.539,"ns","***","ns",5,5,3,5,7,5
"Gm13898",1,0.00207,1,"ns","***","ns",5,5,3,5,7,5
"Gm32635",0.776,0.000641,1,"ns","****","ns",5,5,3,5,7,5
"Sh2d7",0.865,0.0261,1,"ns","**","ns",5,5,3,5,7,5
"Gm48610",0.865,0.0329,0.865,"ns","**","ns",5,5,3,5,7,5
"Gm45483",0.649,0.0129,1,"ns","**","ns",5,5,3,5,7,5
"Traj6",0.872,0.0143,0.872,"ns","**","ns",5,5,3,5,7,5
"Pnmt",1,0.0358,0.861,"ns","**","ns",5,5,3,5,7,5
"Gm26943",0.175,0.0316,0.736,"ns","**","ns",5,5,3,5,7,5
"Dnmt3l-ps1",0.632,0.0358,1,"ns","**","ns",5,5,3,5,7,5
"Gm3317",1,0.004,1,"ns","***","ns",5,5,3,5,7,5
"Gm6982",1,0.0126,1,"ns","**","ns",5,5,3,5,7,5
"Gm47615",0.785,0.0458,0.785,"ns","**","ns",5,5,3,5,7,5
"Gm49340",1,0.0389,1,"ns","**","ns",5,5,3,5,7,5
"Gm18132",1,0.0423,0.859,"ns","**","ns",5,5,3,5,7,5
"Gm38123",0.487,0.0405,1,"ns","**","ns",5,5,3,5,7,5
"Gm33251",0.919,0.0299,1,"ns","**","ns",5,5,3,5,7,5
"1700025K24Rik",1,0.0126,1,"ns","**","ns",5,5,3,5,7,5
"Dlx2",1,0.0126,1,"ns","**","ns",5,5,3,5,7,5
"Gm38252",1,0.00272,1,"ns","***","ns",5,5,3,5,7,5
"4930503B20Rik",1,0.0429,1,"ns","**","ns",5,5,3,5,7,5
"Gm43312",1,0.0164,0.811,"ns","**","ns",5,5,3,5,7,5
"Oprm1",1,0.0429,1,"ns","**","ns",5,5,3,5,7,5
"Gm24277",1,0.00417,1,"ns","***","ns",5,5,3,5,7,5
"Oxct2a",1,0.0349,1,"ns","**","ns",5,5,3,5,7,5
"Gm23209",1,0.0349,1,"ns","**","ns",5,5,3,5,7,5
"4933415J04Rik",1,0.00417,1,"ns","***","ns",5,5,3,5,7,5
"Gm8330",0.533,0.0156,1,"ns","**","ns",5,5,3,5,7,5
"Gm11712",0.533,0.0156,1,"ns","**","ns",5,5,3,5,7,5
"Gm36550",1,0.0405,1,"ns","*","ns",5,5,3,5,7,5
"Lhfpl1",1,0.0429,1,"ns","*","ns",5,5,3,5,7,5
"Gm22087",1,0.00107,1,"ns","***","ns",5,5,3,5,7,5
"Gm26095",1,0.0429,1,"ns","*","ns",5,5,3,5,7,5
"Casr",1,0.0429,1,"ns","*","ns",5,5,3,5,7,5
"Gm13768",1,0.0349,1,"ns","**","ns",5,5,3,5,7,5
"Fer1l4",1,0.0349,1,"ns","**","ns",5,5,3,5,7,5
"Gm14777",1,0.0349,1,"ns","**","ns",5,5,3,5,7,5
"Gm6325",1,0.0349,1,"ns","**","ns",5,5,3,5,7,5
"Gm18120",1,0.0349,1,"ns","**","ns",5,5,3,5,7,5
"Gm17786",1,0.0349,1,"ns","**","ns",5,5,3,5,7,5
"Gm11771",1,0.0349,1,"ns","**","ns",5,5,3,5,7,5
"Gm47904",1,0.0349,1,"ns","**","ns",5,5,3,5,7,5
"Gm47404",1,0.0349,1,"ns","**","ns",5,5,3,5,7,5
"Gm34245",1,0.0349,1,"ns","**","ns",5,5,3,5,7,5
"Gm41030",1,0.0349,1,"ns","**","ns",5,5,3,5,7,5
"Gm47368",1,0.0349,1,"ns","**","ns",5,5,3,5,7,5
"Gm7856",1,0.0349,1,"ns","**","ns",5,5,3,5,7,5
"AC168220.2",1,0.0349,1,"ns","**","ns",5,5,3,5,7,5
"Gm2098",1,0.0349,1,"ns","**","ns",5,5,3,5,7,5
"Gm8731",1,0.0349,1,"ns","**","ns",5,5,3,5,7,5
