"Gene","p.adj_Control_vs_Ctrl_HFHS","p.adj_Lact_HFHS_vs_Lactation","p.adj_Postweaning_vs_Pw_HFHS","p.signif_Control_vs_Ctrl_HFHS","p.signif_Lact_HFHS_vs_Lactation","p.signif_Postweaning_vs_Pw_HFHS","n1_Control_vs_Ctrl_HFHS","n1_Lact_HFHS_vs_Lactation","n1_Postweaning_vs_Pw_HFHS","n2_Control_vs_Ctrl_HFHS","n2_Lact_HFHS_vs_Lactation","n2_Postweaning_vs_Pw_HFHS"
"Mpdz",0.145,0.00313,0.877,"ns","***","ns",5,5,3,5,7,5
"C1ra",0.595,0.0259,0.818,"ns","**","ns",5,5,3,5,7,5
"Hr",0.272,4.37e-05,0.802,"ns","****","ns",5,5,3,5,7,5
"Ptger3",0.71,0.000297,0.116,"ns","****","ns",5,5,3,5,7,5
"Ces1f",0.817,0.0057,0.628,"ns","***","ns",5,5,3,5,7,5
"Rbm28",0.245,0.00585,0.891,"ns","***","ns",5,5,3,5,7,5
"Sqor",0.183,0.00334,0.579,"ns","***","ns",5,5,3,5,7,5
"Podn",0.98,0.0179,0.903,"ns","**","ns",5,5,3,5,7,5
"Vkorc1l1",0.348,0.00247,0.682,"ns","***","ns",5,5,3,5,7,5
"Copg2",0.0881,0.00669,0.556,"*","***","ns",5,5,3,5,7,5
"Ctcflos",0.247,0.0232,0.734,"ns","**","ns",5,5,3,5,7,5
"Cdr2",0.615,0.00975,0.373,"ns","***","ns",5,5,3,5,7,5
"Kpna6",0.29,0.0316,0.815,"ns","**","ns",5,5,3,5,7,5
"Bicd2",0.753,0.0237,0.516,"ns","**","ns",5,5,3,5,7,5
"Psme4",0.116,0.032,0.692,"*","**","ns",5,5,3,5,7,5
"Marc1",0.418,0.0056,0.686,"ns","***","ns",5,5,3,5,7,5
"Unc119",0.603,0.0263,0.943,"ns","**","ns",5,5,3,5,7,5
"Ppp2r5b",0.291,0.00405,0.391,"ns","***","ns",5,5,3,5,7,5
"Gas1",0.757,0.00255,0.757,"ns","***","ns",5,5,3,5,7,5
"Celf1",0.135,0.0436,0.817,"ns","*","ns",5,5,3,5,7,5
"Fbln1",0.782,0.0192,0.888,"ns","**","ns",5,5,3,5,7,5
"Oplah",0.648,0.0302,0.982,"ns","**","ns",5,5,3,5,7,5
"Nek6",0.553,0.0165,0.528,"ns","**","ns",5,5,3,5,7,5
"Coasy",0.133,0.0298,0.769,"ns","**","ns",5,5,3,5,7,5
"Tdrd7",0.0974,0.00108,0.826,"*","****","ns",5,5,3,5,7,5
"Ptprs",0.253,0.0171,0.765,"ns","**","ns",5,5,3,5,7,5
"Tob1",0.164,0.0309,0.271,"ns","**","ns",5,5,3,5,7,5
"Dtnbp1",0.169,0.0141,0.626,"ns","**","ns",5,5,3,5,7,5
"Pcolce2",0.266,0.000816,0.565,"ns","****","ns",5,5,3,5,7,5
"Tsc22d2",0.81,0.000951,0.897,"ns","****","ns",5,5,3,5,7,5
"Ffar2",0.743,0.0224,0.855,"ns","**","ns",5,5,3,5,7,5
"Mme",0.306,0.0476,0.14,"ns","**","*",5,5,3,5,7,5
"Palld",0.653,0.00594,0.696,"ns","***","ns",5,5,3,5,7,5
"Vac14",0.839,0.0453,0.821,"ns","**","ns",5,5,3,5,7,5
"Nln",0.416,0.0211,0.689,"ns","**","ns",5,5,3,5,7,5
"Vgll3",0.839,0.00137,0.839,"ns","****","ns",5,5,3,5,7,5
"Larp4b",0.104,0.0195,0.855,"*","**","ns",5,5,3,5,7,5
"Map1a",0.0551,0.000158,0.694,"*","****","ns",5,5,3,5,7,5
"Fgf13",0.93,0.0104,0.228,"ns","***","ns",5,5,3,5,7,5
"Rnf114",0.291,0.0418,0.889,"ns","**","ns",5,5,3,5,7,5
"Pde7a",0.154,0.00366,0.801,"ns","***","ns",5,5,3,5,7,5
"Nsdhl",0.622,0.0107,0.65,"ns","***","ns",5,5,3,5,7,5
"Slc5a6",0.925,0.0145,0.877,"ns","**","ns",5,5,3,5,7,5
"Erlin2",0.461,0.00869,0.887,"ns","***","ns",5,5,3,5,7,5
"Fdft1",0.758,0.00813,0.963,"ns","**","ns",5,5,3,5,7,5
"Gstt1",0.508,0.0394,0.936,"ns","**","ns",5,5,3,5,7,5
"Bckdha",0.247,0.0401,0.967,"ns","**","ns",5,5,3,5,7,5
"Srpx2",0.746,0.0174,0.746,"ns","**","ns",5,5,3,5,7,5
"C2",0.277,0.00207,0.964,"ns","***","ns",5,5,3,5,7,5
"1700047G03Rik",0.262,0.00191,0.795,"ns","***","ns",5,5,3,5,7,5
"Fbxo31",0.285,0.0216,0.435,"ns","**","ns",5,5,3,5,7,5
"Hdac3",0.444,0.0111,0.923,"ns","**","ns",5,5,3,5,7,5
"Irak2",0.499,0.0376,0.868,"ns","**","ns",5,5,3,5,7,5
"Asns",0.263,0.015,0.746,"ns","***","ns",5,5,3,5,7,5
"Rasl12",0.382,0.00271,0.382,"ns","***","ns",5,5,3,5,7,5
"Apc",0.0521,0.0412,0.968,"*","**","ns",5,5,3,5,7,5
"Pde4dip",0.932,0.0285,0.692,"ns","**","ns",5,5,3,5,7,5
"Daxx",0.493,0.0187,0.749,"ns","**","ns",5,5,3,5,7,5
"Gpc1",0.944,0.0297,0.289,"ns","**","ns",5,5,3,5,7,5
"Zfp503",0.508,0.0015,0.65,"ns","***","ns",5,5,3,5,7,5
"Lrig1",0.703,0.0349,0.116,"ns","**","*",5,5,3,5,7,5
"Xpot",0.16,0.0365,0.993,"ns","**","ns",5,5,3,5,7,5
"Slc5a3",0.454,0.0191,0.689,"ns","**","ns",5,5,3,5,7,5
"Pbx1",0.136,0.0419,0.277,"ns","*","ns",5,5,3,5,7,5
"Exoc4",0.172,0.0016,0.889,"ns","***","ns",5,5,3,5,7,5
"Jpt2",0.841,0.00355,0.392,"ns","***","ns",5,5,3,5,7,5
"Nedd9",0.103,0.00819,0.146,"*","***","ns",5,5,3,5,7,5
"Coq8a",0.47,0.0382,0.473,"ns","**","ns",5,5,3,5,7,5
"Itga1",0.172,0.00779,0.683,"ns","***","ns",5,5,3,5,7,5
"Agfg2",0.247,0.0315,0.247,"ns","**","ns",5,5,3,5,7,5
"C7",0.504,0.022,0.283,"ns","**","ns",5,5,3,5,7,5
"Hivep2",0.305,0.0403,0.837,"ns","**","ns",5,5,3,5,7,5
"Sgms1",0.0638,0.00163,0.939,"*","***","ns",5,5,3,5,7,5
"Tapt1",0.446,0.0421,0.659,"ns","**","ns",5,5,3,5,7,5
"Plxna2",0.168,0.0242,0.399,"ns","**","ns",5,5,3,5,7,5
"Tcf20",0.809,0.043,0.793,"ns","**","ns",5,5,3,5,7,5
"Gpd2",0.13,0.00453,0.419,"ns","***","ns",5,5,3,5,7,5
"Vhl",0.191,0.0282,0.521,"ns","**","ns",5,5,3,5,7,5
"Dcbld2",0.16,0.0113,0.831,"ns","***","ns",5,5,3,5,7,5
"Ccdc6",0.201,0.0106,0.247,"ns","**","ns",5,5,3,5,7,5
"Zfp423",0.454,0.00843,0.134,"ns","**","*",5,5,3,5,7,5
"Lss",0.1,0.00668,0.61,"*","***","ns",5,5,3,5,7,5
"Penk",0.889,0.0218,0.889,"ns","**","ns",5,5,3,5,7,5
"Bmp3",0.998,0.00187,0.684,"ns","***","ns",5,5,3,5,7,5
"Slc20a2",0.987,0.0296,0.748,"ns","**","ns",5,5,3,5,7,5
"Lgr4",0.332,0.00302,0.243,"ns","***","ns",5,5,3,5,7,5
"Slc43a1",0.295,0.0281,0.625,"ns","**","ns",5,5,3,5,7,5
"Nedd4l",0.147,0.0131,0.723,"ns","***","ns",5,5,3,5,7,5
"Tanc1",0.389,0.0473,0.577,"ns","**","ns",5,5,3,5,7,5
"Gucd1",0.11,0.0325,0.697,"*","**","ns",5,5,3,5,7,5
"Kxd1",0.128,0.0254,0.735,"*","**","ns",5,5,3,5,7,5
"Ankib1",0.372,0.0444,0.759,"ns","**","ns",5,5,3,5,7,5
"Sgcb",0.573,0.0393,0.924,"ns","**","ns",5,5,3,5,7,5
"Mindy2",0.0637,0.0031,0.616,"*","***","ns",5,5,3,5,7,5
"Spsb1",0.258,0.0307,0.402,"ns","**","ns",5,5,3,5,7,5
"Atxn2",0.28,0.0286,0.576,"ns","**","ns",5,5,3,5,7,5
"Slc4a7",0.378,0.00177,0.865,"ns","***","ns",5,5,3,5,7,5
"Elmod3",0.813,0.0252,0.922,"ns","**","ns",5,5,3,5,7,5
"Cystm1",0.354,0.00727,0.992,"ns","***","ns",5,5,3,5,7,5
"Rnf144b",0.756,0.00319,0.239,"ns","***","ns",5,5,3,5,7,5
"Flrt2",0.97,0.0343,0.902,"ns","**","ns",5,5,3,5,7,5
"Smim19",0.267,0.0315,0.598,"ns","**","ns",5,5,3,5,7,5
"Ldhd",0.292,0.0208,0.478,"ns","**","ns",5,5,3,5,7,5
"Gcnt2",0.231,0.0019,0.975,"ns","***","ns",5,5,3,5,7,5
"Paqr7",0.177,0.00786,0.255,"ns","***","ns",5,5,3,5,7,5
"St3gal4",0.606,0.00313,0.587,"ns","***","ns",5,5,3,5,7,5
"Prodh",0.462,0.00625,0.53,"ns","***","ns",5,5,3,5,7,5
"Nkd1",0.533,0.0163,0.0973,"ns","**","*",5,5,3,5,7,5
"Lbh",0.264,0.0443,0.6,"ns","**","ns",5,5,3,5,7,5
"Strn",0.194,0.0449,0.626,"ns","**","ns",5,5,3,5,7,5
"Map3k20",0.665,0.00436,0.615,"ns","***","ns",5,5,3,5,7,5
"Hspb7",0.384,0.000295,0.857,"ns","****","ns",5,5,3,5,7,5
"Lrrn4",0.943,0.0112,0.798,"ns","***","ns",5,5,3,5,7,5
"Large1",0.321,0.00216,0.298,"ns","***","ns",5,5,3,5,7,5
"Dock10",0.0668,0.017,0.835,"*","**","ns",5,5,3,5,7,5
"Osr1",0.463,0.000373,0.957,"ns","****","ns",5,5,3,5,7,5
"Krt19",0.28,0.0497,0.663,"ns","**","ns",5,5,3,5,7,5
"Cpe",0.774,0.0421,0.712,"ns","**","ns",5,5,3,5,7,5
"Mdm2",0.138,0.0439,0.807,"ns","**","ns",5,5,3,5,7,5
"Fhod1",0.599,0.0444,0.64,"ns","**","ns",5,5,3,5,7,5
"Dglucy",0.243,0.00244,0.803,"ns","***","ns",5,5,3,5,7,5
"Lrrfip1",0.339,0.0418,0.914,"ns","**","ns",5,5,3,5,7,5
"Ccdc88c",0.0982,0.000936,0.814,"*","****","ns",5,5,3,5,7,5
"Prr32",0.463,0.012,0.24,"ns","***","ns",5,5,3,5,7,5
"Pkdcc",0.0894,0.00434,0.737,"*","***","ns",5,5,3,5,7,5
"Dalrd3",0.113,0.00939,0.664,"*","**","ns",5,5,3,5,7,5
"N4bp2l1",0.968,0.0162,0.968,"ns","**","ns",5,5,3,5,7,5
"Stim2",0.292,0.00339,0.974,"ns","***","ns",5,5,3,5,7,5
"Rspo1",0.637,0.0311,0.783,"ns","**","ns",5,5,3,5,7,5
"Pcdh7",0.265,6.36e-05,0.38,"ns","****","ns",5,5,3,5,7,5
"Gstm5",0.121,0.035,0.885,"*","**","ns",5,5,3,5,7,5
"Chchd10",0.483,0.00454,0.903,"ns","***","ns",5,5,3,5,7,5
"Trub2",0.952,0.0163,0.608,"ns","**","ns",5,5,3,5,7,5
"Slc16a12",0.0503,0.0206,0.943,"*","**","ns",5,5,3,5,7,5
"Atp10a",0.541,0.000745,0.437,"ns","****","ns",5,5,3,5,7,5
"Ppl",0.903,0.0454,1,"ns","**","ns",5,5,3,5,7,5
"Prune2",0.153,0.000476,0.357,"ns","****","ns",5,5,3,5,7,5
"Zfand2a",0.55,0.0221,0.55,"ns","**","ns",5,5,3,5,7,5
"Dennd4a",0.0881,0.046,0.929,"*","**","ns",5,5,3,5,7,5
"Gm15519",0.867,0.0424,0.309,"ns","**","ns",5,5,3,5,7,5
"Ano1",0.874,0.00367,0.874,"ns","***","ns",5,5,3,5,7,5
"Pnpo",0.266,0.0291,0.625,"ns","**","ns",5,5,3,5,7,5
"Ildr2",0.6,0.0104,0.493,"ns","***","ns",5,5,3,5,7,5
"Utp4",0.384,0.0266,0.384,"ns","**","ns",5,5,3,5,7,5
"Hcar2",0.116,0.0479,0.524,"*","**","ns",5,5,3,5,7,5
"Rnd3",0.477,0.042,0.477,"ns","**","ns",5,5,3,5,7,5
"Mid2",0.169,0.0478,0.918,"ns","**","ns",5,5,3,5,7,5
"Fam83a",0.622,0.0245,0.401,"ns","**","ns",5,5,3,5,7,5
"Zbtb18",0.351,0.0283,0.999,"ns","**","ns",5,5,3,5,7,5
"Slc20a1",0.301,0.00451,0.301,"ns","***","ns",5,5,3,5,7,5
"Ablim2",0.12,0.0017,0.318,"*","***","ns",5,5,3,5,7,5
"Trp53i11",0.221,0.00932,0.649,"ns","***","ns",5,5,3,5,7,5
"Atp8a1",0.2,0.0368,0.832,"ns","**","ns",5,5,3,5,7,5
"Mtmr10",0.822,0.0386,0.936,"ns","**","ns",5,5,3,5,7,5
"Aen",0.693,0.00804,0.799,"ns","***","ns",5,5,3,5,7,5
"Upk1b",0.603,0.00466,0.623,"ns","***","ns",5,5,3,5,7,5
"Slco2a1",0.953,0.045,0.608,"ns","**","ns",5,5,3,5,7,5
"Isyna1",0.105,0.0294,0.583,"*","**","ns",5,5,3,5,7,5
"Mgat5",0.149,0.0282,0.368,"ns","**","ns",5,5,3,5,7,5
"Abhd17c",0.994,0.0315,0.143,"ns","**","*",5,5,3,5,7,5
"Epdr1",0.368,0.00438,0.0515,"ns","***","*",5,5,3,5,7,5
"2310061I04Rik",0.0615,0.00926,0.979,"*","**","ns",5,5,3,5,7,5
"Tnfrsf21",0.418,0.036,0.65,"ns","**","ns",5,5,3,5,7,5
"Vnn3",0.413,0.0452,0.413,"ns","**","ns",5,5,3,5,7,5
"Acp6",0.989,0.0177,0.172,"ns","**","ns",5,5,3,5,7,5
"Zdhhc2",0.767,0.0177,0.703,"ns","**","ns",5,5,3,5,7,5
"Traf3",0.316,0.0133,0.549,"ns","**","ns",5,5,3,5,7,5
"Tst",0.862,0.00091,0.931,"ns","****","ns",5,5,3,5,7,5
"Mrps35",0.0617,0.00513,0.563,"*","***","ns",5,5,3,5,7,5
"Mogat1",0.0846,0.00949,0.999,"*","***","ns",5,5,3,5,7,5
"Prr16",0.352,0.0443,0.118,"ns","**","*",5,5,3,5,7,5
"Coq10a",0.972,0.0138,0.972,"ns","**","ns",5,5,3,5,7,5
"Coq8b",0.226,0.0129,0.811,"ns","**","ns",5,5,3,5,7,5
"Malt1",0.168,0.00674,0.549,"ns","***","ns",5,5,3,5,7,5
"Gsta4",0.118,0.00464,0.695,"*","***","ns",5,5,3,5,7,5
"Slc28a2",0.135,0.0493,0.948,"ns","**","ns",5,5,3,5,7,5
"Snx11",0.516,0.0445,0.954,"ns","**","ns",5,5,3,5,7,5
"Pacsin3",0.333,0.0334,0.4,"ns","**","ns",5,5,3,5,7,5
"Sept4",0.858,0.0411,0.858,"ns","**","ns",5,5,3,5,7,5
"Dennd2d",0.915,0.0041,0.708,"ns","***","ns",5,5,3,5,7,5
"Spry4",0.82,0.0278,0.82,"ns","**","ns",5,5,3,5,7,5
"Fam69a",0.582,0.0439,0.582,"ns","**","ns",5,5,3,5,7,5
"Fam117a",0.474,0.000277,0.474,"ns","****","ns",5,5,3,5,7,5
"Fam210b",0.597,0.0388,0.972,"ns","**","ns",5,5,3,5,7,5
"Ret",0.898,0.0203,0.341,"ns","**","ns",5,5,3,5,7,5
"Vmac",0.13,0.000727,0.557,"ns","****","ns",5,5,3,5,7,5
"Zfp358",0.271,0.0471,0.79,"ns","**","ns",5,5,3,5,7,5
"Kcnh2",0.825,0.0117,0.199,"ns","**","ns",5,5,3,5,7,5
"Mapk8ip1",0.106,0.0201,0.161,"*","**","ns",5,5,3,5,7,5
"Fiz1",0.263,0.0219,0.43,"ns","**","ns",5,5,3,5,7,5
"Afap1l1",0.414,0.0317,0.759,"ns","**","ns",5,5,3,5,7,5
"Ephb2",0.298,0.0149,0.378,"ns","***","ns",5,5,3,5,7,5
